Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Caitlyn,ADC,21,0.4948,0.0834,0.012,8.8,6.32,5.62,7.18,8,19937,16915,3110,180,1.83,7.29,12032,14,5
Camille,Support,22,0.4995,0.0032,0.0008,11.35,3.27,3.36,2.62,6,8284,11577,1321,97.3,0.98,0.64,6626,49,0
Camille,Top,23,0.4987,0.0176,0.0008,5.38,6.34,6.05,5.5,8,18607,25870,3879,163.6,2.75,4.07,11522,31,3
Cassiopeia,ADC,24,0.5338,0.0054,0.0074,22.23,7.18,5.75,6.79,9,20242,22529,8255,179.2,2.79,8.17,11960,7,5
Cassiopeia,Middle,25,0.5165,0.0207,0.0074,5.29,6.67,5.79,6.08,7,20735,23225,7886,181,2.89,10.17,11860,14,2
Cho'Gath,Jungle,26,0.488,0.0032,0.0008,4.37,6.13,5.33,6.86,5,15613,35456,10689,71.3,5.59,63.09,10920,35,12
Cho'Gath,Middle,27,0.4739,0.0041,0.0008,5.7,7.27,5.95,6.63,7,20048,29128,7063,168.9,2.08,5.6,11659,39,11
Cho'Gath,Top,28,0.4897,0.0118,0.0008,3.96,5.84,5.7,6.06,6,17921,32015,7623,160.9,1.37,3.18,11037,32,2
Corki,Middle,29,0.4781,0.0188,0.0005,4.93,7.11,5.64,6.63,8,23691,20353,2956,187.9,3.1,10.66,12437,16,1
Darius,Top,30,0.4971,0.0426,0.0498,6.41,6.53,5.68,4.53,7,17397,28483,5901,175.7,1.83,2.38,11684,1,0
Diana,Middle,31,0.5193,0.037,0.0203,5.21,7.46,6.25,6.37,9,21402,22534,4437,164.5,3.7,8.85,11954,4,0
Dr. Mundo,Jungle,32,0.5278,0.007,0.0012,4.6,5.25,4.93,7.14,7,16153,36235,16763,47.3,10.55,80.71,10982,11,0
Dr. Mundo,Top,33,0.5042,0.0094,0.0012,3.26,4.6,5.19,6.6,6,20465,33981,8843,167.8,2.15,2.65,11064,19,11
Draven,ADC,34,0.5035,0.0291,0.0079,8.11,7.22,6.29,6.63,9,20680,18716,1966,177.8,2.63,8.59,12929,12,6
Ekko,Jungle,35,0.4971,0.0551,0.0226,13.26,6.94,5.3,7.03,8,16718,30114,13867,40.6,7.22,77.98,10831,3,0
Ekko,Middle,36,0.5126,0.0277,0.0226,7.08,7.48,5.56,6.17,8,20476,26713,8148,165,1.95,4.62,11680,7,1
Elise,Jungle,37,0.4982,0.044,0.0126,6.99,6,5.42,7.33,7,13887,21332,7559,26.6,7.3,69.78,10036,22,2
Evelynn,Jungle,38,0.501,0.0303,0.0094,6.32,8.09,5.35,6.45,9,17978,23066,8494,19,9.07,84.25,10873,14,1
Ezreal,ADC,39,0.4958,0.1347,0.0066,8.02,6.68,5.24,7.19,8,22752,17967,2215,176,1.87,6.87,11801,2,4
Fiddlesticks,Jungle,40,0.5179,0.0343,0.0085,6.3,5.77,5.45,8.62,8,16388,27951,14711,30.9,6.75,87.69,10520,13,3
Fiddlesticks,Support,41,0.4698,0.0068,0.0085,9.9,3.22,6.69,9.62,5,13261,16874,2669,30.2,0.58,1.55,8030,38,8
Fiora,Top,42,0.4833,0.0354,0.0128,6.41,6.05,6.06,4.34,7,19133,28807,8671,181.3,3.63,4.27,12001,8,3
Fizz,Middle,43,0.512,0.0305,0.0142,6,8.53,5.67,5.91,10,19008,21991,3763,154.4,1.31,3.72,11671,9,1
Galio,Middle,44,0.5148,0.0212,0.0029,6.29,5.16,5.3,9.89,7,18094,22214,2075,154.6,1.02,3.09,10512,28,2
Galio,Support,45,0.522,0.0107,0.0029,7.12,2.73,4.79,8.96,5,9499,15873,1346,58.6,0.29,0.5,7240,32,1
Gangplank,Top,46,0.4632,0.023,0.0014,9.28,4.73,5.27,7.32,8,20962,24165,6686,194.1,1.74,4.15,12484,16,2
Garen,Top,47,0.4985,0.0373,0.0093,3.41,6.26,4.81,4.47,7,18094,27541,3357,175.8,3.29,3.7,11911,2,1
Gnar,Top,48,0.495,0.0167,0.0009,4.18,4.91,5.51,6.72,8,19659,26969,3881,165.7,1.77,2.63,11177,29,2
Gragas,Jungle,49,0.4525,0.0201,0.0003,6.48,4.67,5.46,8.23,7,13748,26674,11399,26.9,6.09,77.11,9672,46,2
Graves,Jungle,50,0.5151,0.1009,0.0224,6.88,5.86,4.92,7.13,8,16045,22274,7990,47.9,12.28,86.13,11254,1,1
Hecarim,Jungle,51,0.4897,0.0207,0.0008,5.26,6.66,5.33,7.83,7,14693,33254,13485,36,8.1,84.89,11098,21,1
Heimerdinger,ADC,52,0.5208,0.0026,0.0006,35.76,5.46,5.61,8.18,7,23500,16073,2511,166.4,1.29,3.53,11285,22,0
Heimerdinger,Middle,53,0.5214,0.0037,0.0006,7.1,5.24,5.92,6.86,6,24646,17225,2184,167.9,1.35,3.95,11209,33,10
Heimerdinger,Top,54,0.4844,0.0026,0.0006,6.05,4.65,6,5.74,6,24154,17490,2096,174.2,1.22,2.61,11160,45,9
Illaoi,Top,55,0.4963,0.0146,0.0052,5.35,5.14,5.98,4.52,6,23301,30516,9237,193.7,1.25,1.38,11685,13,1
Irelia,Middle,56,0.4439,0.0145,0.0072,21.8,7.62,6.97,5.24,8,18880,28155,6968,195.6,2.56,4.56,12508,37,1
