Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Veigar,Middle,182,0.4948,0.0189,0.0018,4.5,7.12,5.91,6.78,8,20408,17471,1897,171.3,1.47,5.59,11727,23,4
Veigar,Support,183,0.4769,0.0065,0.0018,7.59,4.01,5.56,6.69,5,11258,12682,1033,65.6,0.54,1.26,7959,45,11
Vel'Koz,Middle,184,0.5199,0.0145,0.0011,8.48,6.4,5.21,7.67,8,24807,15876,1492,172.4,1.32,4.6,11458,11,3
Vel'Koz,Support,185,0.4977,0.0163,0.0011,9.42,4.11,5.89,8.6,8,18337,13469,1080,44.1,0.57,1.15,8591,23,10
Vi,Jungle,186,0.4964,0.0225,0.0004,4.95,5.74,5.95,7.36,7,13271,23518,6786,31.6,7.51,82.45,10680,40,1
Viktor,Middle,187,0.4947,0.0147,0.0003,5.56,6.36,5.4,6.74,6,23932,16687,2181,186.5,1.89,7.24,11806,19,6
Vladimir,Middle,188,0.5142,0.0262,0.0189,6.72,6.63,5.27,6.09,8,22828,28851,23134,184.4,1.85,4.29,11702,5,0
Vladimir,Top,189,0.4763,0.0166,0.0189,7.62,5.09,5.41,5.63,7,21132,28381,22438,185.7,1.73,3.74,11279,14,4
Volibear,Jungle,190,0.5255,0.011,0.0007,4.28,5.52,5.12,8.2,6,13130,30055,7549,41.4,6.24,70.79,10520,26,3
Volibear,Support,191,0.5214,0.0038,0.0007,12.26,3.47,4.89,7.43,4,8747,19121,1518,58.5,0.6,0.58,7555,36,6
Volibear,Top,192,0.5174,0.0075,0.0007,5.03,6.18,5.39,6.33,6,17754,29937,3354,156.9,2.08,2.78,11492,24,2
Warwick,Jungle,193,0.521,0.0348,0.0032,5.7,6.45,5.84,7.62,7,12560,33414,16618,32.8,7.5,74.67,10779,18,0
Wukong,Jungle,194,0.5222,0.0242,0.0219,6.62,6.11,5.17,7.26,7,13503,25889,8491,40.6,7.1,73.66,10762,7,6
Wukong,Top,195,0.5075,0.0162,0.0219,7.03,6.15,5.63,6.03,7,18068,25230,4590,164.2,2.41,3.61,11597,12,10
Xayah,ADC,196,0.4836,0.0305,0.0006,5.48,6.71,5.62,7.06,7,19619,17450,2443,184.1,2.36,8.96,12218,20,0
Xerath,Middle,197,0.4967,0.0155,0.0014,5.41,6.51,4.73,8.47,6,24824,14510,1228,171.5,1.24,5.59,11432,12,5
Xerath,Support,198,0.4983,0.0164,0.0014,12.29,4.23,5.33,9.13,6,18304,12396,950,46.5,0.59,1.28,8619,17,1
Xin Zhao,Jungle,199,0.5104,0.0173,0.0003,4.14,5.84,5.81,7.11,7,14269,29869,15115,29.9,8.77,73.37,10342,30,9
Yasuo,ADC,200,0.513,0.0163,0.0457,36.21,7.44,6.71,6.85,8,18335,22016,4579,184.4,3.97,8.06,12541,3,1
Yasuo,Middle,201,0.4922,0.0452,0.0457,11.26,6.85,6.73,5.72,8,18813,22541,4520,185.1,4.46,7.3,12228,2,0
Yasuo,Top,202,0.4911,0.0108,0.0457,10.92,5.81,6.97,5.06,7,18461,23321,4256,189.8,4.03,6.18,12083,20,0
Yorick,Top,203,0.5042,0.0095,0.0009,5.72,4.41,5.06,4.64,6,19376,25828,6787,189.7,2.93,3.36,11909,28,3
Yuumi,Support,204,0.4932,0.0792,0.0427,NaN,1.61,3.7,14.22,4,8408,7398,14195,7,0.08,0.1,7229,1,0
Zac,Jungle,205,0.5078,0.0498,0.0168,5.64,4.03,4.26,10.79,6,12751,36086,31248,34.8,5.26,76.42,9789,4,0
Zed,Middle,206,0.4972,0.0393,0.0244,6.7,8.89,6.34,5.56,9,22376,20977,3029,166.9,1.97,3.92,12230,1,0
Ziggs,ADC,207,0.5117,0.0069,0.0002,6.2,5.66,5.25,8.75,7,25540,15610,1940,186.1,1.76,6.63,11945,9,2
Ziggs,Middle,208,0.5026,0.0093,0.0002,5.1,5.69,5.21,7.71,7,25917,16029,1429,185.4,1.68,7.12,11858,15,0
Ziggs,Support,209,0.5527,0.0026,0.0002,8.87,3.22,4.1,5.65,5,12907,9742,673,89.2,0.71,1.42,7580,21,4
Zilean,Middle,210,0.524,0.004,0.0015,8.4,3.55,4.2,10.76,4,16176,18412,7882,163.9,0.9,4.24,10161,38,4
Zilean,Support,211,0.5218,0.022,0.0015,7.05,2.32,4.69,11.52,6,10250,13850,5350,37.7,0.27,0.39,7753,19,2
Zoe,Middle,212,0.4736,0.0242,0.0054,NaN,6.62,5.49,7.17,8,22000,17913,3558,155.9,1,4.3,10962,31,0
Zoe,Support,213,0.5292,0.0042,0.0054,NaN,3.7,3.75,4.24,4,10303,9764,1548,86.1,0.51,1.2,6909,29,5
Zyra,Support,214,0.523,0.0259,0.002,7.06,3.54,6,9.93,5,17682,14755,1528,36.5,0.72,1.22,8705,9,8
